X,Observed,Pr,Expected,chi-sq contribution
0,22,0.059543232622450086,22.626428396531033,0.01734310555353064
1,55,0.16797459308228024,63.83034537126649,1.2215976417221188
2,99,0.2369325839265847,90.03438189210219,0.8927956894622304
3,84,0.22279976313096386,84.66390998976627,0.0052061908617818875
4,65,0.1571324645239429,59.7103365190983,0.4686046231247676
5,32,0.08865579051035097,33.68920039393337,0.08469770542189772
6,16,0.041683775187322886,15.839834571182697,0.0016195222540329247
7+,7,0.02527779701610422,9.605562866119604,0.7067735586060419
