Date,FTHG,FTAG,HODDS
02/01/2018,1,2,1.91
02/01/2018,0,2,10.5
02/01/2018,2,1,1.9
03/01/2018,2,2,2.7
04/01/2018,1,1,1.25
13/01/2018,0,0,1.26
13/01/2018,1,0,2
13/01/2018,1,4,2.6
13/01/2018,1,1,1.9
13/01/2018,4,0,1.25
13/01/2018,2,2,2.4
13/01/2018,2,0,2.1
14/01/2018,2,1,4.75
14/01/2018,4,3,3.1
15/01/2018,3,0,1.22
20/01/2018,4,1,1.5
20/01/2018,0,4,6
20/01/2018,0,1,6.5
20/01/2018,1,1,2.1
20/01/2018,2,0,1.8
20/01/2018,3,1,1.11
20/01/2018,2,0,2
20/01/2018,1,1,1.95
21/01/2018,1,1,5.5
22/01/2018,1,0,10
30/01/2018,0,3,10.5
30/01/2018,3,1,6.5
30/01/2018,1,1,3
31/01/2018,0,3,1.26
31/01/2018,2,1,2.95
31/01/2018,3,0,1.14
31/01/2018,1,1,2.15
31/01/2018,1,1,1.75
31/01/2018,0,0,2.2
31/01/2018,2,0,2.25
03/02/2018,5,1,1.3
03/02/2018,2,1,1.87
03/02/2018,3,1,2.3
03/02/2018,1,1,11
03/02/2018,1,1,1.72
03/02/2018,2,0,1.14
03/02/2018,2,3,2.5
04/02/2018,1,1,2
04/02/2018,2,2,2.05
05/02/2018,4,1,6
10/02/2018,3,1,2.25
10/02/2018,5,1,1.2
10/02/2018,1,1,2.15
10/02/2018,1,0,2.45
10/02/2018,1,0,1.95
10/02/2018,2,0,2.45
11/02/2018,4,1,3.4
11/02/2018,1,0,5.5
11/02/2018,0,2,4.25
12/02/2018,3,0,1.35
24/02/2018,2,2,2.1
24/02/2018,4,1,2.1
24/02/2018,1,1,2.9
24/02/2018,1,1,1.72
24/02/2018,4,1,1.2
24/02/2018,1,0,2.2
24/02/2018,1,2,1.9
25/02/2018,0,1,7
25/02/2018,2,1,2.2
01/03/2018,0,3,4.4
03/03/2018,2,1,2.5
03/03/2018,1,1,1.85
03/03/2018,2,0,1.2
03/03/2018,0,0,1.72
03/03/2018,4,1,2.45
03/03/2018,2,0,1.2
03/03/2018,1,0,2
04/03/2018,2,1,4.1
04/03/2018,1,0,1.6
05/03/2018,2,3,6.5
10/03/2018,2,1,1.3
10/03/2018,2,0,2.2
10/03/2018,0,0,2.5
10/03/2018,2,1,2.65
10/03/2018,3,0,2.7
10/03/2018,1,4,2.9
10/03/2018,0,3,2.2
11/03/2018,3,0,1.5
11/03/2018,1,4,6
12/03/2018,0,2,13
17/03/2018,2,1,1.85
17/03/2018,0,2,2.8
17/03/2018,5,0,1.18
17/03/2018,1,2,2.4
31/03/2018,0,2,2.7
31/03/2018,1,2,6.75
31/03/2018,1,3,8.5
31/03/2018,2,0,1.22
31/03/2018,1,0,1.75
31/03/2018,2,2,2.3
31/03/2018,1,2,2.55
31/03/2018,3,0,2.85
01/04/2018,3,0,1.3
01/04/2018,1,3,2.35
07/04/2018,2,2,2.45
07/04/2018,1,1,1.85
07/04/2018,0,0,4.1
07/04/2018,1,2,1.95
07/04/2018,2,3,1.85
07/04/2018,1,2,9.5
07/04/2018,1,2,2.25
07/04/2018,1,1,2.4
08/04/2018,3,2,1.53
08/04/2018,1,1,1.28
14/04/2018,2,1,2.65
14/04/2018,3,2,1.9
14/04/2018,1,0,2.6
14/04/2018,3,0,1.25
14/04/2018,2,3,4.5
14/04/2018,1,1,2.55
14/04/2018,1,3,2.6
15/04/2018,0,1,1.18
15/04/2018,2,1,3.1
16/04/2018,1,1,2
17/04/2018,1,1,6
18/04/2018,0,2,5
19/04/2018,1,2,4.1
19/04/2018,0,0,2.3
21/04/2018,0,0,2.95
21/04/2018,2,2,6.75
22/04/2018,4,1,1.53
22/04/2018,5,0,1.13
22/04/2018,1,1,2.3
23/04/2018,1,0,2.25
28/04/2018,0,0,2.15
28/04/2018,5,0,2.05
28/04/2018,0,2,2.6
28/04/2018,0,0,1.3
28/04/2018,0,1,1.8
28/04/2018,2,1,1.72
28/04/2018,0,1,7
29/04/2018,2,1,1.44
29/04/2018,1,4,9.25
30/04/2018,2,0,1.16
04/05/2018,1,0,4.5
05/05/2018,1,0,2.05
05/05/2018,1,1,2.85
05/05/2018,0,2,2.2
05/05/2018,1,2,2.6
05/05/2018,2,1,2.35
05/05/2018,1,0,8.25
06/05/2018,5,0,1.53
06/05/2018,1,0,2.15
06/05/2018,0,0,1.07
08/05/2018,0,1,3
09/05/2018,1,1,1.18
09/05/2018,3,1,3.6
09/05/2018,3,1,1.13
09/05/2018,1,0,1.18
10/05/2018,0,0,4.33
13/05/2018,1,2,2.15
13/05/2018,2,0,1.75
13/05/2018,0,1,5.5
13/05/2018,4,0,1.16
13/05/2018,1,0,1.36
13/05/2018,3,0,6.5
13/05/2018,0,1,7.25
13/05/2018,1,2,1.83
13/05/2018,5,4,1.3
13/05/2018,3,1,2.4
