Wk,Home,Away,HGOAL,AGOAL,
17,Tottenham,Leeds United,3,0,H
17,Crystal Palace,Sheffield Utd,2,0,H
17,Brighton,Wolves,3,3,D
17,West Brom,Arsenal,0,4,A
17,Newcastle Utd,Leicester City,1,2,A
17,Chelsea,Manchester City,1,3,A
17,Southampton,Liverpool,1,0,H
18,Sheffield Utd,Newcastle Utd,1,0,H
1,Burnley,Manchester Utd,0,1,A
18,Wolves,Everton,1,2,A
18,Manchester City,Brighton,1,0,H
16,Tottenham,Fulham,1,1,D
18,Arsenal,Crystal Palace,0,0,D
19,Wolves,West Brom,2,3,A
19,Leeds United,Brighton,0,1,A
19,West Ham,Burnley,1,0,H
19,Fulham,Chelsea,0,1,A
19,Leicester City,Southampton,2,0,H
19,Sheffield Utd,Tottenham,1,3,A
19,Liverpool,Manchester Utd,0,0,D
19,Manchester City,Crystal Palace,4,0,H
19,Arsenal,Newcastle Utd,3,0,H
18,West Ham,West Brom,2,1,H
18,Leicester City,Chelsea,2,0,H
1,Manchester City,Aston Villa,2,0,H
18,Fulham,Manchester Utd,1,2,A
18,Liverpool,Burnley,0,1,A
11,Aston Villa,Newcastle Utd,2,0,H
20,Newcastle Utd,Leeds United,1,2,A
20,Crystal Palace,West Ham,2,3,A
20,West Brom,Manchester City,0,5,A
20,Southampton,Arsenal,1,3,A
20,Burnley,Aston Villa,3,2,H
20,Chelsea,Wolves,0,0,D
20,Brighton,Fulham,0,0,D
20,Manchester Utd,Sheffield Utd,1,2,A
20,Everton,Leicester City,1,1,D
20,Tottenham,Liverpool,1,3,A
21,Everton,Newcastle Utd,0,2,A
21,Manchester City,Sheffield Utd,1,0,H
21,West Brom,Fulham,2,2,D
21,Crystal Palace,Wolves,1,0,H
21,Arsenal,Manchester Utd,0,0,D
21,Southampton,Aston Villa,0,1,A
21,Chelsea,Burnley,2,0,H
21,Leicester City,Leeds United,1,3,A
21,West Ham,Liverpool,1,3,A
21,Brighton,Tottenham,1,0,H
22,Sheffield Utd,West Brom,2,1,H
22,Wolves,Arsenal,2,1,H
22,Newcastle Utd,Crystal Palace,1,2,A
22,Manchester Utd,Southampton,9,0,H
22,Burnley,Manchester City,0,2,A
22,Fulham,Leicester City,0,2,A
22,Leeds United,Everton,1,2,A
22,Liverpool,Brighton,0,1,A
22,Aston Villa,West Ham,1,3,A
22,Tottenham,Chelsea,0,1,A
23,Aston Villa,Arsenal,1,0,H
23,Burnley,Brighton,1,1,D
23,Newcastle Utd,Southampton,3,2,H
23,Fulham,West Ham,0,0,D
23,Manchester Utd,Everton,3,3,D
23,Tottenham,West Brom,2,0,H
23,Wolves,Leicester City,0,0,D
23,Liverpool,Manchester City,1,4,A
23,Sheffield Utd,Chelsea,1,2,A
23,Leeds United,Crystal Palace,2,0,H
24,Leicester City,Liverpool,3,1,H
24,Crystal Palace,Burnley,0,3,A
24,Manchester City,Tottenham,3,0,H
24,Brighton,Aston Villa,0,0,D
24,Southampton,Wolves,1,2,A
24,West Brom,Manchester Utd,1,1,D
24,Arsenal,Leeds United,4,2,H
24,Everton,Fulham,0,2,A
24,West Ham,Sheffield Utd,3,0,H
24,Chelsea,Newcastle Utd,2,0,H
17,Burnley,Fulham,1,1,D
16,Everton,Manchester City,1,3,A
25,Wolves,Leeds United,1,0,H
25,Southampton,Chelsea,1,1,D
25,Burnley,West Brom,0,0,D
25,Liverpool,Everton,0,2,A
25,Fulham,Sheffield Utd,1,0,H
25,West Ham,Tottenham,2,1,H
25,Aston Villa,Leicester City,1,2,A
25,Arsenal,Manchester City,0,1,A
25,Manchester Utd,Newcastle Utd,3,1,H
25,Brighton,Crystal Palace,1,2,A
18,Leeds United,Southampton,3,0,H
26,Manchester City,West Ham,2,1,H
26,West Brom,Brighton,1,0,H
26,Leeds United,Aston Villa,0,1,A
26,Newcastle Utd,Wolves,1,1,D
26,Crystal Palace,Fulham,0,0,D
26,Leicester City,Arsenal,1,3,A
26,Tottenham,Burnley,4,0,H
26,Chelsea,Manchester Utd,0,0,D
26,Sheffield Utd,Liverpool,0,2,A
26,Everton,Southampton,1,0,H
29,Manchester City,Wolves,4,1,H
29,Sheffield Utd,Aston Villa,1,0,H
29,Burnley,Leicester City,1,1,D
29,Crystal Palace,Manchester Utd,0,0,D
29,West Brom,Everton,0,1,A
33,Fulham,Tottenham,0,1,A
29,Liverpool,Chelsea,0,1,A
27,Burnley,Arsenal,1,1,D
27,Sheffield Utd,Southampton,0,2,A
27,Aston Villa,Wolves,0,0,D
27,Brighton,Leicester City,1,2,A
27,West Brom,Newcastle Utd,0,0,D
27,Liverpool,Fulham,0,1,A
27,Manchester City,Manchester Utd,0,2,A
27,Tottenham,Crystal Palace,4,1,H
27,Chelsea,Everton,2,0,H
27,West Ham,Leeds United,2,0,H
33,Manchester City,Southampton,5,2,H
28,Newcastle Utd,Aston Villa,1,1,D
28,Leeds United,Chelsea,0,0,D
28,Crystal Palace,West Brom,1,0,H
28,Everton,Burnley,1,2,A
28,Fulham,Manchester City,0,3,A
28,Southampton,Brighton,1,2,A
28,Leicester City,Sheffield Utd,5,0,H
28,Arsenal,Tottenham,2,1,H
28,Manchester Utd,West Ham,1,0,H
28,Wolves,Liverpool,0,1,A
29,Fulham,Leeds United,1,2,A
29,Brighton,Newcastle Utd,3,0,H
29,West Ham,Arsenal,3,3,D
18,Aston Villa,Tottenham,0,2,A
30,Chelsea,West Brom,2,5,A
30,Leeds United,Sheffield Utd,2,1,H
30,Leicester City,Manchester City,0,2,A
30,Arsenal,Liverpool,0,3,A
30,Southampton,Burnley,3,2,H
30,Newcastle Utd,Tottenham,2,2,D
30,Aston Villa,Fulham,3,1,H
30,Manchester Utd,Brighton,2,1,H
30,Everton,Crystal Palace,1,1,D
30,Wolves,West Ham,2,3,A
31,Fulham,Wolves,0,1,A
31,Manchester City,Leeds United,1,2,A
31,Liverpool,Aston Villa,2,1,H
31,Crystal Palace,Chelsea,1,4,A
31,Burnley,Newcastle Utd,1,2,A
31,West Ham,Leicester City,3,2,H
31,Tottenham,Manchester Utd,1,3,A
31,Sheffield Utd,Arsenal,0,3,A
31,West Brom,Southampton,3,0,H
31,Brighton,Everton,0,0,D
32,Everton,Tottenham,2,2,D
32,Newcastle Utd,West Ham,3,2,H
32,Wolves,Sheffield Utd,1,0,H
32,Arsenal,Fulham,1,1,D
32,Manchester Utd,Burnley,3,1,H
32,Leeds United,Liverpool,1,1,D
32,Chelsea,Brighton,0,0,D
29,Tottenham,Southampton,2,1,H
32,Aston Villa,Manchester City,1,2,A
32,Leicester City,West Brom,3,0,H
33,Arsenal,Everton,0,1,A
33,Liverpool,Newcastle Utd,1,1,D
33,West Ham,Chelsea,0,1,A
33,Sheffield Utd,Brighton,1,0,H
33,Wolves,Burnley,0,4,A
33,Leeds United,Manchester Utd,0,0,D
33,Aston Villa,West Brom,2,2,D
33,Leicester City,Crystal Palace,2,1,H
34,Southampton,Leicester City,1,1,D
34,Crystal Palace,Manchester City,0,2,A
34,Brighton,Leeds United,2,0,H
34,Chelsea,Fulham,2,0,H
34,Everton,Aston Villa,1,2,A
34,Newcastle Utd,Arsenal,0,2,A
34,Tottenham,Sheffield Utd,4,0,H
34,West Brom,Wolves,1,1,D
34,Burnley,West Ham,1,2,A
35,Leicester City,Newcastle Utd,2,4,A
35,Leeds United,Tottenham,3,1,H
35,Sheffield Utd,Crystal Palace,0,2,A
35,Manchester City,Chelsea,1,2,A
35,Liverpool,Southampton,2,0,H
35,Wolves,Brighton,2,1,H
35,Aston Villa,Manchester Utd,1,3,A
35,West Ham,Everton,0,1,A
35,Arsenal,West Brom,3,1,H
35,Fulham,Burnley,0,2,A
