attendance
74439
51749
10353
24821
24121
20051
31231
53235
30784
59934
30720
38601
32043
58297
56888
40491
18822
54021
30592
25750
31222
10654
59830
21193
29925
53294
20014
23438
51791
74400
32149
30526
40178
25495
38767
59947
53946
32316
21525
20141
80188
10543
40499
23696
53307
52165
20537
30406
39161
27742
23418
18636
32321
25679
31676
50965
74489
30531
56875
59964
56938
60019
38788
23885
54152
51523
31147
40625
30411
10199
30544
20533
25715
32007
43268
20139
74519
25401
27077
52117
40721
10986
29681
54094
50329
56921
31144
24263
38668
59886
30654
25071
53373
30736
20457
31848
21430
25718
74525
56854
10792
30877
38966
49157
56862
59993
31185
53916
40407
17082
29402
24069
32184
49266
28153
25685
53128
40345
60030
54316
30553
39139
24603
74516
20540
56886
55465
10792
30130
20628
30213
25098
22973
31353
54409
51853
30187
40551
59973
51756
9980
29663
56811
20389
21741
22881
31300
39350
74507
33012
10752
59893
18497
30067
74523
56995
40571
31957
50223
38400
54173
24738
24036
41645
20032
30997
24081
30645
29497
52908
31358
59493
10491
40558
22394
54340
51237
56833
33028
39319
24382
21484
25206
32090
53318
74523
45154
30608
20415
31654
30597
24423
32047
46356
20336
53326
25781
20933
31381
74556
39052
59887
32485
40668
23715
59870
30666
10261
52217
54511
59946
30862
19316
30725
25010
31491
40491
38113
80062
54171
31278
10495
53171
74532
49864
29989
19510
59979
24190
24807
59933
22008
23699
31122
74529
50861
10227
28339
53092
29164
41219
30414
19787
40626
25355
39380
31939
32148
54483
59903
39322
25001
25552
24182
53178
31438
20333
29323
44154
54452
30687
30387
59950
21338
10671
52174
31778
59877
74519
31849
22714
30558
48323
59618
27597
25754
40542
53316
53528
81332
10699
30182
19223
74459
31309
59910
20062
24900
39335
24972
32458
22304
32017
52242
31890
54104
53310
40692
60000
10625
20719
59931
25043
39356
25001
30636
20990
25193
31530
74543
59988
32657
53322
59869
17301
31302
38593
59215
53559
31797
10446
24126
51926
39400
40537
32108
58308
30460
21480
24971
31708
74478
25721
53279
20480
30226
54489
10511
23957
59960
31096
52191
39395
59929
33082
40642
19170
56251
31436
74431
53249
60043
25789
23822
31310
20323
30587
32037
21605
74526
39303
10630
59961
30456
32133
52206
40650
24263
59965
54506
30662
21461
25433
24979
32140
53331
74457
30367
60124
20067
