,game_ids,goal_times,global_goal_times
356,129,40,11650
357,130,18,11718
358,130,65,11765
359,130,77,11777
360,131,16,11806
361,131,77,11867
362,132,1,11881
363,132,45,11925
364,132,69,11949
365,133,12,11982
366,133,23,11993
367,134,16,12076
368,134,44,12104
369,134,57,12117
370,134,79,12139
371,135,11,12161
372,135,63,12213
373,135,90,12240
374,136,13,12253
375,136,20,12260
376,136,33,12273
377,136,39,12279
378,137,4,12334
379,137,82,12412
380,138,10,12430
381,138,30,12450
382,138,34,12454
383,138,56,12476
384,138,74,12494
385,138,77,12497
386,139,90,12600
387,140,5,12605
388,140,22,12622
389,140,38,12638
390,141,24,12714
391,141,31,12721
392,141,45,12735
393,141,81,12771
394,142,49,12829
395,142,54,12834
396,142,61,12841
397,142,90,12870
398,143,40,12910
399,143,51,12921
400,143,85,12955
401,144,54,13014
402,144,62,13022
403,144,69,13029
404,144,90,13050
405,145,42,13092
406,145,74,13124
407,146,18,13158
408,146,59,13199
409,146,63,13203
410,147,19,13249
411,147,38,13268
412,148,26,13346
413,148,30,13350
414,148,68,13388
415,148,69,13389
416,149,9,13419
417,149,51,13461
418,149,55,13465
419,149,90,13500
420,150,25,13525
421,150,48,13548
422,150,68,13568
423,150,77,13577
424,151,83,13673
425,152,40,13720
426,153,74,13844
427,154,13,13873
428,154,28,13888
429,154,42,13902
430,154,67,13927
431,154,82,13942
432,155,6,13956
433,155,48,13998
434,155,62,14012
435,155,65,14015
436,155,76,14026
437,156,45,14085
438,156,78,14118
439,157,45,14175
440,157,58,14188
441,158,17,14237
442,158,23,14243
443,158,90,14310
444,159,15,14325
445,159,63,14373
446,159,65,14375
447,159,90,14400
448,160,22,14422
449,160,50,14450
450,160,65,14465
451,160,69,14469
452,161,39,14529
453,162,55,14635
454,163,90,14760
455,164,16,14776
456,164,52,14812
457,164,68,14828
458,164,80,14840
459,164,82,14842
460,165,12,14862
461,165,90,14940
462,166,17,14957
463,166,29,14969
464,167,17,15047
465,167,33,15063
466,167,66,15096
467,168,20,15140
468,168,28,15148
469,168,44,15164
470,168,53,15173
471,168,85,15205
472,169,24,15234
473,169,33,15243
474,169,73,15283
475,169,80,15290
476,170,18,15318
477,170,68,15368
478,171,14,15404
479,171,48,15438
480,171,63,15453
481,171,90,15480
482,172,21,15501
483,172,77,15557
484,173,51,15621
485,174,15,15675
486,174,42,15702
487,174,58,15718
488,174,71,15731
489,175,27,15777
490,175,33,15783
491,175,35,15785
492,175,51,15801
493,175,85,15835
494,177,30,15960
495,177,87,16017
496,178,3,16023
497,178,29,16049
498,178,38,16058
499,178,41,16061
500,178,57,16077
501,178,90,16110
502,179,21,16131
503,179,27,16137
504,179,35,16145
505,179,42,16152
506,179,48,16158
507,179,51,16161
508,179,61,16171
509,179,74,16184
510,180,74,16274
511,180,85,16285
512,181,2,16292
513,181,13,16303
514,181,22,16312
515,181,36,16326
516,181,71,16361
517,181,90,16380
518,183,14,16484
519,183,19,16489
520,183,81,16551
521,184,11,16571
522,184,47,16607
523,184,79,16639
524,184,85,16645
525,185,28,16678
526,185,64,16714
527,185,78,16728
528,185,88,16738
529,186,16,16756
530,186,23,16763
531,186,35,16775
532,186,61,16801
533,186,70,16810
534,187,7,16837
535,187,35,16865
536,188,45,16965
537,188,45,16965
538,188,58,16978
539,189,50,17060
